engine,curve,m,n,l,seed,threads,vars,monomials,build_seconds,status,seconds,wall_seconds,verified,detail
mitm,koblitz,3,17,3,1,1,9,0,0.002,solved,0.0037,0.0038,True,"{""group_ops"":95}"
mitm,koblitz,3,17,3,2,1,9,0,0.001,solved,0.0036,0.0036,True,"{""group_ops"":93}"
mitm,koblitz,3,17,4,1,1,12,0,0.000,solved,0.0124,0.0124,True,"{""group_ops"":279}"
mitm,koblitz,3,17,4,2,1,12,0,0.001,solved,0.0123,0.0123,True,"{""group_ops"":279}"
mitm,koblitz,3,17,5,1,1,15,0,0.001,solved,0.0335,0.0335,True,"{""group_ops"":708}"
mitm,koblitz,3,17,5,2,1,15,0,0.001,solved,0.0328,0.0328,True,"{""group_ops"":706}"
mitm,koblitz,3,17,6,1,1,18,0,0.001,solved,0.1124,0.1125,True,"{""group_ops"":2285}"
mitm,koblitz,3,17,6,2,1,18,0,0.001,solved,0.1123,0.1124,True,"{""group_ops"":2291}"
mitm,koblitz,3,17,7,1,1,21,0,0.001,solved,0.4506,0.4508,True,"{""group_ops"":8948}"
mitm,koblitz,3,17,7,2,1,21,0,0.001,solved,0.4477,0.4479,True,"{""group_ops"":8922}"
mitm,koblitz,3,17,8,1,1,24,0,0.001,solved,1.9269,1.9287,True,"{""group_ops"":37404}"
mitm,koblitz,3,17,8,2,1,24,0,0.001,solved,1.9264,1.9280,True,"{""group_ops"":37401}"
mitm,koblitz,3,17,9,1,1,27,0,0.001,solved,7.2108,7.2165,True,"{""group_ops"":138075}"
mitm,koblitz,3,17,9,2,1,27,0,0.001,solved,7.1284,7.1318,True,"{""group_ops"":138075}"
mitm,koblitz,3,17,10,1,1,30,0,0.001,solved,29.6437,29.6517,True,"{""group_ops"":565516}"
mitm,koblitz,3,17,10,2,1,30,0,0.001,solved,29.7391,29.7556,True,"{""group_ops"":565516}"
mitm,koblitz,3,31,3,1,1,9,0,0.004,solved,0.0053,0.0053,True,"{""group_ops"":70}"
mitm,koblitz,3,31,3,2,1,9,0,0.002,solved,0.0050,0.0050,True,"{""group_ops"":68}"
mitm,koblitz,3,31,4,1,1,12,0,0.001,solved,0.0164,0.0164,True,"{""group_ops"":156}"
mitm,koblitz,3,31,4,2,1,12,0,0.002,solved,0.0158,0.0159,True,"{""group_ops"":153}"
mitm,koblitz,3,31,5,1,1,15,0,0.002,solved,0.0660,0.0660,True,"{""group_ops"":635}"
mitm,koblitz,3,31,5,2,1,15,0,0.003,solved,0.0666,0.0666,True,"{""group_ops"":635}"
mitm,koblitz,3,31,6,1,1,18,0,0.002,solved,0.2984,0.2984,True,"{""group_ops"":2563}"
mitm,koblitz,3,31,6,2,1,18,0,0.003,solved,0.3083,0.3084,True,"{""group_ops"":2608}"
mitm,koblitz,3,31,7,1,1,21,0,0.002,solved,1.1380,1.1382,True,"{""group_ops"":9215}"
mitm,koblitz,3,31,7,2,1,21,0,0.002,solved,1.1262,1.1263,True,"{""group_ops"":9193}"
mitm,koblitz,3,31,8,1,1,24,0,0.002,solved,5.1690,5.1715,True,"{""group_ops"":34754}"
mitm,koblitz,3,31,8,2,1,24,0,0.002,solved,5.1618,5.1630,True,"{""group_ops"":34806}"
mitm,koblitz,3,31,9,1,1,27,0,0.002,solved,22.9934,23.5952,True,"{""group_ops"":154362}"
mitm,koblitz,3,31,9,2,1,27,0,0.002,solved,23.2696,24.1384,True,"{""group_ops"":154341}"
mitm,koblitz,3,31,10,1,1,30,0,0.003,solved,85.8235,94.3619,True,"{""group_ops"":557178}"
mitm,koblitz,3,31,10,2,1,30,0,0.003,solved,85.3190,85.4189,True,"{""group_ops"":557844}"
mitm,koblitz,3,61,3,1,1,9,0,0.014,solved,0.0540,0.0540,True,"{""group_ops"":91}"
mitm,koblitz,3,61,3,2,1,9,0,0.013,solved,0.0537,0.0538,True,"{""group_ops"":91}"
mitm,koblitz,3,61,4,1,1,12,0,0.018,solved,0.1396,0.1397,True,"{""group_ops"":195}"
mitm,koblitz,3,61,4,2,1,12,0,0.017,solved,0.1399,0.1400,True,"{""group_ops"":196}"
mitm,koblitz,3,61,5,1,1,15,0,0.020,solved,0.3843,0.3843,True,"{""group_ops"":509}"
mitm,koblitz,3,61,5,2,1,15,0,0.014,solved,0.3730,0.3732,True,"{""group_ops"":499}"
mitm,koblitz,3,61,6,1,1,18,0,0.013,solved,1.3738,1.3765,True,"{""group_ops"":1781}"
mitm,koblitz,3,61,6,2,1,18,0,0.012,solved,1.3867,1.3879,True,"{""group_ops"":1774}"
mitm,koblitz,3,61,7,1,1,21,0,0.015,solved,6.4927,6.5006,True,"{""group_ops"":8141}"
mitm,koblitz,3,61,7,2,1,21,0,0.010,solved,6.4542,6.4629,True,"{""group_ops"":8139}"
mitm,koblitz,3,61,8,1,1,24,0,0.014,solved,24.2390,24.2571,True,"{""group_ops"":30167}"
mitm,koblitz,3,61,8,2,1,24,0,0.013,solved,24.1653,24.1948,True,"{""group_ops"":30160}"
mitm,koblitz,3,61,9,1,1,27,0,0.015,solved,93.5169,93.6384,True,"{""group_ops"":115952}"
mitm,koblitz,3,61,9,2,1,27,0,0.020,solved,93.9482,94.0545,True,"{""group_ops"":116247}"
mitm,koblitz,3,61,10,1,1,30,0,0.011,solved,414.3850,414.7100,True,"{""group_ops"":509604}"
mitm,koblitz,3,61,10,2,1,30,0,0.013,solved,415.3950,417.7258,True,"{""group_ops"":509636}"
