engine,curve,m,n,l,seed,threads,vars,monomials,build_seconds,status,seconds,wall_seconds,verified,detail
msolve,koblitz,3,17,3,1,1,9,244,0.081,solved,0.0260,0.0266,True,"{""input_bytes"":25983,""basis_size"":14,""free_vars"":9,""is_planted"":true}"
msolve,koblitz,3,17,3,2,1,9,244,0.069,solved,0.0198,0.0195,True,"{""input_bytes"":23292,""basis_size"":14,""free_vars"":9,""is_planted"":true}"
msolve,koblitz,3,17,4,1,1,12,1043,0.085,solved,0.8535,0.8565,True,"{""input_bytes"":131007,""basis_size"":17,""free_vars"":12,""is_planted"":true}"
msolve,koblitz,3,17,4,2,1,12,1043,0.078,solved,0.8564,0.8644,True,"{""input_bytes"":131007,""basis_size"":17,""free_vars"":12,""is_planted"":true}"
msolve,koblitz,3,17,5,1,1,15,3436,0.093,solved,184.0437,184.1700,True,"{""input_bytes"":484005,""basis_size"":20,""free_vars"":15,""is_planted"":true}"
msolve,koblitz,3,17,5,2,1,15,3436,0.101,solved,186.6328,186.8341,True,"{""input_bytes"":481617,""basis_size"":20,""free_vars"":15,""is_planted"":true}"
msolve,koblitz,3,17,6,1,1,18,9343,0.119,timeout,1792.4105,1800.3075,,"{""input_bytes"":1350033}"
msolve,koblitz,3,17,6,2,1,18,9343,0.140,timeout,1799.1345,1800.2077,,"{""input_bytes"":1430322}"
msolve,koblitz,3,31,3,1,1,9,244,0.098,solved,0.0186,0.0195,True,"{""input_bytes"":47044,""basis_size"":14,""free_vars"":9,""is_planted"":true}"
msolve,koblitz,3,31,3,2,1,9,244,0.078,solved,0.0134,0.0131,True,"{""input_bytes"":45754,""basis_size"":14,""free_vars"":9,""is_planted"":true}"
msolve,koblitz,3,31,4,1,1,12,1043,0.089,solved,0.3032,0.3050,True,"{""input_bytes"":232057,""basis_size"":17,""free_vars"":12,""is_planted"":true}"
msolve,koblitz,3,31,4,2,1,12,1043,0.090,solved,0.3020,0.3021,True,"{""input_bytes"":227489,""basis_size"":17,""free_vars"":12,""is_planted"":true}"
msolve,koblitz,3,31,5,1,1,15,3436,0.113,solved,20.6580,20.6737,True,"{""input_bytes"":850885,""basis_size"":20,""free_vars"":15,""is_planted"":true}"
msolve,koblitz,3,31,5,2,1,15,3436,0.113,solved,20.2366,20.2432,True,"{""input_bytes"":887905,""basis_size"":20,""free_vars"":15,""is_planted"":true}"
msolve,koblitz,3,31,6,1,1,18,9343,0.137,timeout,1797.4552,1800.6121,,"{""input_bytes"":2527474}"
msolve,koblitz,3,31,6,2,1,18,9343,0.222,timeout,1766.4188,1800.3484,,"{""input_bytes"":2561022}"
msolve,koblitz,3,61,3,1,1,9,244,0.140,solved,0.0180,0.0473,True,"{""input_bytes"":87873,""basis_size"":14,""free_vars"":9,""is_planted"":true}"
msolve,koblitz,3,61,3,2,1,9,244,0.118,solved,0.0162,0.0475,True,"{""input_bytes"":93763,""basis_size"":14,""free_vars"":9,""is_planted"":true}"
msolve,koblitz,3,61,4,1,1,12,1043,0.148,solved,0.0357,0.0887,True,"{""input_bytes"":475919,""basis_size"":17,""free_vars"":12,""is_planted"":true}"
msolve,koblitz,3,61,4,2,1,12,1043,0.215,solved,0.0363,0.0790,True,"{""input_bytes"":468184,""basis_size"":17,""free_vars"":12,""is_planted"":true}"
msolve,koblitz,3,61,5,1,1,15,3436,0.231,solved,4.8519,5.8628,True,"{""input_bytes"":1749479,""basis_size"":20,""free_vars"":15,""is_planted"":true}"
msolve,koblitz,3,61,5,2,1,15,3436,0.235,solved,4.8615,5.5889,True,"{""input_bytes"":1708333,""basis_size"":20,""free_vars"":15,""is_planted"":true}"
