engine,curve,m,n,l,seed,threads,vars,monomials,build_seconds,status,seconds,wall_seconds,verified,detail
sat,random,3,31,4,1,1,12,1061,0.099,sat,0.0336,0.0337,True,"{""aux_vars"":1048,""is_planted"":true}"
sat,random,3,31,4,2,1,12,1061,0.093,sat,0.0142,0.0142,True,"{""aux_vars"":1048,""is_planted"":true}"
sat,random,3,31,5,1,1,15,3466,0.106,sat,0.3270,0.3273,True,"{""aux_vars"":3450,""is_planted"":true}"
sat,random,3,31,5,2,1,15,3466,0.111,sat,0.9052,0.9053,True,"{""aux_vars"":3450,""is_planted"":true}"
sat,random,3,31,6,1,1,18,9388,0.136,sat,14.3716,14.3836,True,"{""aux_vars"":9369,""is_planted"":true}"
sat,random,3,31,6,2,1,18,9388,0.139,sat,27.5585,27.5788,True,"{""aux_vars"":9369,""is_planted"":true}"
sat,random,3,61,4,1,1,12,1061,0.170,sat,0.0061,0.0062,True,"{""aux_vars"":1048,""is_planted"":true}"
sat,random,3,61,4,2,1,12,1061,0.140,sat,0.0058,0.0059,True,"{""aux_vars"":1048,""is_planted"":true}"
sat,random,3,61,5,1,1,15,3466,0.172,sat,0.6885,0.6888,True,"{""aux_vars"":3450,""is_planted"":true}"
sat,random,3,61,5,2,1,15,3466,0.191,sat,1.5839,1.5845,True,"{""aux_vars"":3450,""is_planted"":true}"
sat,random,3,61,6,1,1,18,9388,0.239,sat,2.6069,2.6081,True,"{""aux_vars"":9369,""is_planted"":true}"
sat,random,3,61,6,2,1,18,9388,0.223,sat,11.5601,11.5636,True,"{""aux_vars"":9369,""is_planted"":true}"
