engine,curve,m,n,l,seed,threads,vars,monomials,build_seconds,status,seconds,wall_seconds,verified,detail
sat,koblitz,4,17,3,1,1,12,3214,0.130,sat,0.0145,0.0145,True,"{""aux_vars"":3201,""is_planted"":true}"
sat,koblitz,4,17,3,2,1,12,3214,0.124,sat,0.1900,0.1902,True,"{""aux_vars"":3201,""is_planted"":true}"
sat,koblitz,4,17,4,1,1,16,41889,0.244,sat,9.2550,9.2671,True,"{""aux_vars"":41872,""is_planted"":true}"
sat,koblitz,4,17,4,2,1,16,41889,0.245,sat,5.4056,5.4093,True,"{""aux_vars"":41872,""is_planted"":true}"
sat,koblitz,4,17,5,1,1,20,401816,0.995,sat,1337.4394,1346.7056,True,"{""aux_vars"":401795,""is_planted"":true}"
sat,koblitz,4,17,5,2,1,20,401816,1.242,timeout,1507.3044,1512.2901,,"{""aux_vars"":401795}"
sat,koblitz,4,31,3,1,1,12,3214,0.237,sat,0.0108,0.0108,True,"{""aux_vars"":3201,""is_planted"":true}"
sat,koblitz,4,31,3,2,1,12,3214,0.155,sat,0.0105,0.0105,True,"{""aux_vars"":3201,""is_planted"":true}"
sat,koblitz,4,31,4,1,1,16,41889,0.334,sat,2.4135,2.4156,True,"{""aux_vars"":41872,""is_planted"":true}"
sat,koblitz,4,31,4,2,1,16,41889,0.309,sat,0.1306,0.1316,True,"{""aux_vars"":41872,""is_planted"":true}"
sat,koblitz,4,31,5,1,1,20,401816,1.434,sat,193.7205,193.8487,True,"{""aux_vars"":401795,""is_planted"":true}"
sat,koblitz,4,31,5,2,1,20,401816,1.263,timeout,1504.6752,1507.4459,,"{""aux_vars"":401795}"
sat,koblitz,4,61,3,1,1,12,3214,0.277,sat,0.0127,0.0127,True,"{""aux_vars"":3201,""is_planted"":true}"
sat,koblitz,4,61,3,2,1,12,3214,0.308,sat,0.0329,0.0329,True,"{""aux_vars"":3201,""is_planted"":true}"
sat,koblitz,4,61,4,1,1,16,41889,0.529,sat,4.3842,4.3847,True,"{""aux_vars"":41872,""is_planted"":true}"
sat,koblitz,4,61,4,2,1,16,41889,0.525,sat,0.1734,0.1734,True,"{""aux_vars"":41872,""is_planted"":true}"
sat,koblitz,4,61,5,1,1,20,401816,2.053,sat,318.7918,318.9710,True,"{""aux_vars"":401795,""is_planted"":true}"
sat,koblitz,4,61,5,2,1,20,401816,2.139,timeout,1507.1629,1508.7391,,"{""aux_vars"":401795}"
