engine,curve,m,n,l,seed,threads,vars,monomials,build_seconds,status,seconds,wall_seconds,verified,detail
wdsat-fork,koblitz,3,31,5,1,1,15,3436,0.114,sat,0.0097,0.0111,True,"{""is_planted"":true,""conflicts"":1508,""model_vars"":42,""model_monomials"":460}"
wdsat-fork,koblitz,3,31,5,2,1,15,3436,0.107,sat,0.0213,0.0227,True,"{""is_planted"":true,""conflicts"":2951,""model_vars"":42,""model_monomials"":460}"
wdsat-fork,koblitz,3,31,5,3,1,15,3436,0.107,sat,0.0100,0.0114,True,"{""is_planted"":true,""conflicts"":1430,""model_vars"":42,""model_monomials"":460}"
wdsat-fork,koblitz,3,31,6,1,1,18,9343,0.134,sat,0.1140,0.1144,True,"{""is_planted"":true,""conflicts"":14498,""model_vars"":51,""model_monomials"":716}"
wdsat-fork,koblitz,3,31,6,2,1,18,9343,0.135,sat,0.2341,0.2358,True,"{""is_planted"":true,""conflicts"":23973,""model_vars"":51,""model_monomials"":716}"
wdsat-fork,koblitz,3,31,6,3,1,18,9343,0.140,sat,0.2873,0.2888,True,"{""is_planted"":true,""conflicts"":31694,""model_vars"":51,""model_monomials"":716}"
wdsat-fork,koblitz,3,31,7,1,1,21,22058,0.167,sat,0.0795,0.0799,True,"{""is_planted"":true,""conflicts"":9491,""model_vars"":60,""model_monomials"":1041}"
wdsat-fork,koblitz,3,31,7,2,1,21,22058,0.162,sat,3.1731,3.1750,True,"{""is_planted"":true,""conflicts"":233191,""model_vars"":60,""model_monomials"":1041}"
wdsat-fork,koblitz,3,31,7,3,1,21,22058,0.167,sat,0.2876,0.2892,True,"{""is_planted"":true,""conflicts"":30067,""model_vars"":60,""model_monomials"":1041}"
wdsat-fork,koblitz,3,31,8,1,1,24,46789,0.235,sat,12.1398,12.1432,True,"{""is_planted"":true,""conflicts"":780686,""model_vars"":69,""model_monomials"":1441}"
wdsat-fork,koblitz,3,31,8,2,1,24,46789,0.226,sat,19.0965,19.1029,True,"{""is_planted"":true,""conflicts"":1257589,""model_vars"":69,""model_monomials"":1441}"
wdsat-fork,koblitz,3,31,8,3,1,24,46789,0.226,sat,26.6089,26.6155,True,"{""is_planted"":true,""conflicts"":1535831,""model_vars"":69,""model_monomials"":1441}"
wdsat-fork,koblitz,3,31,9,1,1,27,91288,0.312,sat,149.6397,151.5429,True,"{""is_planted"":true,""conflicts"":7766936,""model_vars"":78,""model_monomials"":1922}"
