engine,curve,m,n,l,seed,threads,vars,monomials,build_seconds,status,seconds,wall_seconds,verified,detail
wdsat-fork-xg,koblitz,3,31,5,1,1,15,3436,0.128,sat,0.0303,0.0308,True,"{""is_planted"":true,""conflicts"":409,""model_vars"":42,""model_monomials"":460}"
wdsat-fork-xg,koblitz,3,31,5,2,1,15,3436,0.118,sat,0.0725,0.0741,True,"{""is_planted"":true,""conflicts"":901,""model_vars"":42,""model_monomials"":460}"
wdsat-fork-xg,koblitz,3,31,5,3,1,15,3436,0.111,sat,0.0285,0.0299,True,"{""is_planted"":true,""conflicts"":386,""model_vars"":42,""model_monomials"":460}"
wdsat-fork-xg,koblitz,3,31,6,1,1,18,9343,0.134,sat,0.5507,0.5524,True,"{""is_planted"":true,""conflicts"":5243,""model_vars"":51,""model_monomials"":716}"
wdsat-fork-xg,koblitz,3,31,6,2,1,18,9343,0.141,sat,1.1494,1.1516,True,"{""is_planted"":true,""conflicts"":9971,""model_vars"":51,""model_monomials"":716}"
wdsat-fork-xg,koblitz,3,31,6,3,1,18,9343,0.141,sat,1.7009,1.7171,True,"{""is_planted"":true,""conflicts"":14089,""model_vars"":51,""model_monomials"":716}"
wdsat-fork-xg,koblitz,3,31,7,1,1,21,22058,0.174,sat,0.4829,0.4851,True,"{""is_planted"":true,""conflicts"":3149,""model_vars"":60,""model_monomials"":1041}"
wdsat-fork-xg,koblitz,3,31,7,2,1,21,22058,0.173,sat,26.2992,26.3169,True,"{""is_planted"":true,""conflicts"":133957,""model_vars"":60,""model_monomials"":1041}"
wdsat-fork-xg,koblitz,3,31,7,3,1,21,22058,0.173,sat,1.7207,1.7233,True,"{""is_planted"":true,""conflicts"":11391,""model_vars"":60,""model_monomials"":1041}"
wdsat-fork-xg,koblitz,3,31,8,1,1,24,46789,0.225,sat,164.7023,164.8405,True,"{""is_planted"":true,""conflicts"":485206,""model_vars"":69,""model_monomials"":1441}"
wdsat-fork-xg,koblitz,3,31,8,2,1,24,46789,0.238,sat,303.7123,304.0639,True,"{""is_planted"":true,""conflicts"":847469,""model_vars"":69,""model_monomials"":1441}"
wdsat-fork-xg,koblitz,3,31,8,3,1,24,46789,0.235,sat,391.4476,392.7635,True,"{""is_planted"":true,""conflicts"":1071027,""model_vars"":69,""model_monomials"":1441}"
wdsat-fork-xg,koblitz,3,61,5,1,1,15,3436,0.251,sat,0.0053,0.0068,True,"{""is_planted"":true,""conflicts"":46,""model_vars"":42,""model_monomials"":460}"
wdsat-fork-xg,koblitz,3,61,5,2,1,15,3436,0.181,sat,0.0502,0.0507,True,"{""is_planted"":true,""conflicts"":449,""model_vars"":42,""model_monomials"":460}"
wdsat-fork-xg,koblitz,3,61,5,3,1,15,3436,0.177,sat,0.0529,0.0544,True,"{""is_planted"":true,""conflicts"":482,""model_vars"":42,""model_monomials"":460}"
wdsat-fork-xg,koblitz,3,61,6,1,1,18,9343,0.230,sat,0.0816,0.0832,True,"{""is_planted"":true,""conflicts"":584,""model_vars"":51,""model_monomials"":716}"
wdsat-fork-xg,koblitz,3,61,6,2,1,18,9343,0.225,sat,0.9490,0.9520,True,"{""is_planted"":false,""conflicts"":5344,""model_vars"":51,""model_monomials"":716}"
wdsat-fork-xg,koblitz,3,61,6,3,1,18,9343,0.231,sat,0.0760,0.0777,True,"{""is_planted"":true,""conflicts"":509,""model_vars"":51,""model_monomials"":716}"
wdsat-fork-xg,koblitz,3,61,7,1,1,21,22058,0.287,sat,1.6369,1.6419,True,"{""is_planted"":true,""conflicts"":7705,""model_vars"":60,""model_monomials"":1041}"
wdsat-fork-xg,koblitz,3,61,7,2,1,21,22058,0.286,sat,15.0688,15.1145,True,"{""is_planted"":true,""conflicts"":59846,""model_vars"":60,""model_monomials"":1041}"
wdsat-fork-xg,koblitz,3,61,7,3,1,21,22058,0.313,sat,12.9927,13.0186,True,"{""is_planted"":true,""conflicts"":52501,""model_vars"":60,""model_monomials"":1041}"
wdsat-fork-xg,koblitz,3,61,8,1,1,24,46789,0.395,sat,263.9486,264.2262,True,"{""is_planted"":true,""conflicts"":558876,""model_vars"":69,""model_monomials"":1441}"
wdsat-fork-xg,koblitz,3,61,8,2,1,24,46789,0.391,sat,215.4544,215.6946,True,"{""is_planted"":true,""conflicts"":474500,""model_vars"":69,""model_monomials"":1441}"
wdsat-fork-xg,koblitz,3,61,8,3,1,24,46789,0.456,sat,111.4862,111.5149,True,"{""is_planted"":true,""conflicts"":334352,""model_vars"":69,""model_monomials"":1441}"
