engine,curve,m,n,l,seed,threads,vars,monomials,build_seconds,status,seconds,wall_seconds,verified,detail
wdsat,koblitz,3,17,3,1,1,9,244,0.082,sat,0.0006,0.0021,True,"{""is_planted"":true,""conflicts"":12,""model_vars"":24,""model_monomials"":131}"
wdsat,koblitz,3,17,3,2,1,9,244,0.075,sat,0.0007,0.0021,True,"{""is_planted"":true,""conflicts"":39,""model_vars"":24,""model_monomials"":131}"
wdsat,koblitz,3,17,3,3,1,9,244,0.075,sat,0.0006,0.0020,True,"{""is_planted"":true,""conflicts"":14,""model_vars"":24,""model_monomials"":131}"
wdsat,koblitz,3,17,4,1,1,12,1043,0.082,sat,0.0017,0.0031,True,"{""is_planted"":true,""conflicts"":248,""model_vars"":33,""model_monomials"":267}"
wdsat,koblitz,3,17,4,2,1,12,1043,0.084,sat,0.0020,0.0033,True,"{""is_planted"":true,""conflicts"":248,""model_vars"":33,""model_monomials"":267}"
wdsat,koblitz,3,17,4,3,1,12,1043,0.097,sat,0.0022,0.0036,True,"{""is_planted"":true,""conflicts"":354,""model_vars"":33,""model_monomials"":267}"
wdsat,koblitz,3,17,5,1,1,15,3436,0.097,sat,0.0085,0.0100,True,"{""is_planted"":true,""conflicts"":1563,""model_vars"":42,""model_monomials"":460}"
wdsat,koblitz,3,17,5,2,1,15,3436,0.096,sat,0.0170,0.0175,True,"{""is_planted"":true,""conflicts"":2967,""model_vars"":42,""model_monomials"":460}"
wdsat,koblitz,3,17,5,3,1,15,3436,0.095,sat,0.0098,0.0103,True,"{""is_planted"":true,""conflicts"":1851,""model_vars"":42,""model_monomials"":460}"
wdsat,koblitz,3,17,6,1,1,18,9343,0.115,sat,0.0881,0.0897,True,"{""is_planted"":true,""conflicts"":13184,""model_vars"":51,""model_monomials"":716}"
wdsat,koblitz,3,17,6,2,1,18,9343,0.118,sat,0.1529,0.1534,True,"{""is_planted"":false,""conflicts"":21048,""model_vars"":51,""model_monomials"":716}"
wdsat,koblitz,3,17,6,3,1,18,9343,0.116,sat,0.0918,0.0934,True,"{""is_planted"":true,""conflicts"":13839,""model_vars"":51,""model_monomials"":716}"
wdsat,koblitz,3,17,7,1,1,21,22058,0.139,unsupported,0.0000,,,symmetrised model needs 3l - 2 <= n (e3 must not wrap)
wdsat,koblitz,3,17,7,2,1,21,22058,0.136,unsupported,0.0000,,,symmetrised model needs 3l - 2 <= n (e3 must not wrap)
wdsat,koblitz,3,17,7,3,1,21,22058,0.140,unsupported,0.0000,,,symmetrised model needs 3l - 2 <= n (e3 must not wrap)
wdsat,koblitz,3,17,8,1,1,24,46789,0.173,unsupported,0.0000,,,symmetrised model needs 3l - 2 <= n (e3 must not wrap)
wdsat,koblitz,3,17,8,2,1,24,46789,0.176,unsupported,0.0000,,,symmetrised model needs 3l - 2 <= n (e3 must not wrap)
wdsat,koblitz,3,17,8,3,1,24,46789,0.171,unsupported,0.0000,,,symmetrised model needs 3l - 2 <= n (e3 must not wrap)
wdsat,koblitz,3,17,9,1,1,27,91288,0.240,unsupported,0.0000,,,symmetrised model needs 3l - 2 <= n (e3 must not wrap)
wdsat,koblitz,3,17,9,2,1,27,91288,0.238,unsupported,0.0000,,,symmetrised model needs 3l - 2 <= n (e3 must not wrap)
wdsat,koblitz,3,17,9,3,1,27,91288,0.239,unsupported,0.0000,,,symmetrised model needs 3l - 2 <= n (e3 must not wrap)
wdsat,koblitz,3,31,3,1,1,9,244,0.081,sat,0.0007,0.0021,True,"{""is_planted"":true,""conflicts"":14,""model_vars"":24,""model_monomials"":131}"
wdsat,koblitz,3,31,3,2,1,9,244,0.081,sat,0.0008,0.0021,True,"{""is_planted"":true,""conflicts"":37,""model_vars"":24,""model_monomials"":131}"
wdsat,koblitz,3,31,3,3,1,9,244,0.081,sat,0.0008,0.0021,True,"{""is_planted"":true,""conflicts"":15,""model_vars"":24,""model_monomials"":131}"
wdsat,koblitz,3,31,4,1,1,12,1043,0.094,sat,0.0020,0.0033,True,"{""is_planted"":true,""conflicts"":245,""model_vars"":33,""model_monomials"":267}"
wdsat,koblitz,3,31,4,2,1,12,1043,0.099,sat,0.0010,0.0024,True,"{""is_planted"":true,""conflicts"":12,""model_vars"":33,""model_monomials"":267}"
wdsat,koblitz,3,31,4,3,1,12,1043,0.094,sat,0.0010,0.0023,True,"{""is_planted"":true,""conflicts"":12,""model_vars"":33,""model_monomials"":267}"
wdsat,koblitz,3,31,5,1,1,15,3436,0.109,sat,0.0092,0.0097,True,"{""is_planted"":true,""conflicts"":1508,""model_vars"":42,""model_monomials"":460}"
wdsat,koblitz,3,31,5,2,1,15,3436,0.111,sat,0.0201,0.0215,True,"{""is_planted"":true,""conflicts"":2951,""model_vars"":42,""model_monomials"":460}"
wdsat,koblitz,3,31,5,3,1,15,3436,0.107,sat,0.0093,0.0108,True,"{""is_planted"":true,""conflicts"":1430,""model_vars"":42,""model_monomials"":460}"
wdsat,koblitz,3,31,6,1,1,18,9343,0.135,sat,0.1076,0.1091,True,"{""is_planted"":true,""conflicts"":14498,""model_vars"":51,""model_monomials"":716}"
wdsat,koblitz,3,31,6,2,1,18,9343,0.139,sat,0.2202,0.2207,True,"{""is_planted"":true,""conflicts"":23973,""model_vars"":51,""model_monomials"":716}"
wdsat,koblitz,3,31,6,3,1,18,9343,0.135,sat,0.2757,0.2763,True,"{""is_planted"":true,""conflicts"":31694,""model_vars"":51,""model_monomials"":716}"
wdsat,koblitz,3,31,7,1,1,21,22058,0.167,sat,0.0740,0.0755,True,"{""is_planted"":true,""conflicts"":9491,""model_vars"":60,""model_monomials"":1041}"
wdsat,koblitz,3,31,7,2,1,21,22058,0.166,sat,3.0281,3.0311,True,"{""is_planted"":true,""conflicts"":233191,""model_vars"":60,""model_monomials"":1041}"
wdsat,koblitz,3,31,7,3,1,21,22058,0.168,sat,0.2661,0.2677,True,"{""is_planted"":true,""conflicts"":30067,""model_vars"":60,""model_monomials"":1041}"
wdsat,koblitz,3,31,8,1,1,24,46789,0.212,sat,11.4386,11.4506,True,"{""is_planted"":true,""conflicts"":780686,""model_vars"":69,""model_monomials"":1441}"
wdsat,koblitz,3,31,8,2,1,24,46789,0.215,sat,18.2837,18.2974,True,"{""is_planted"":true,""conflicts"":1257589,""model_vars"":69,""model_monomials"":1441}"
wdsat,koblitz,3,31,8,3,1,24,46789,0.215,sat,25.3895,26.0568,True,"{""is_planted"":true,""conflicts"":1535831,""model_vars"":69,""model_monomials"":1441}"
wdsat,koblitz,3,31,9,1,1,27,91288,0.314,sat,140.6875,149.0018,True,"{""is_planted"":true,""conflicts"":7766936,""model_vars"":78,""model_monomials"":1922}"
wdsat,koblitz,3,31,9,2,1,27,91288,0.354,sat,303.4678,303.7479,True,"{""is_planted"":true,""conflicts"":14756497,""model_vars"":78,""model_monomials"":1922}"
wdsat,koblitz,3,31,9,3,1,27,91288,0.319,sat,394.9215,395.1710,True,"{""is_planted"":true,""conflicts"":17734222,""model_vars"":78,""model_monomials"":1922}"
wdsat,koblitz,3,61,3,1,1,9,244,0.153,sat,0.0009,0.0023,True,"{""is_planted"":true,""conflicts"":9,""model_vars"":24,""model_monomials"":131}"
wdsat,koblitz,3,61,3,2,1,9,244,0.121,sat,0.0008,0.0022,True,"{""is_planted"":true,""conflicts"":9,""model_vars"":24,""model_monomials"":131}"
wdsat,koblitz,3,61,3,3,1,9,244,0.124,sat,0.0010,0.0024,True,"{""is_planted"":true,""conflicts"":57,""model_vars"":24,""model_monomials"":131}"
wdsat,koblitz,3,61,4,1,1,12,1043,0.149,sat,0.0042,0.0045,True,"{""is_planted"":true,""conflicts"":506,""model_vars"":33,""model_monomials"":267}"
wdsat,koblitz,3,61,4,2,1,12,1043,0.149,sat,0.0052,0.0057,True,"{""is_planted"":true,""conflicts"":631,""model_vars"":33,""model_monomials"":267}"
wdsat,koblitz,3,61,4,3,1,12,1043,0.142,sat,0.0017,0.0031,True,"{""is_planted"":true,""conflicts"":105,""model_vars"":33,""model_monomials"":267}"
wdsat,koblitz,3,61,5,1,1,15,3436,0.183,sat,0.0052,0.0057,True,"{""is_planted"":true,""conflicts"":652,""model_vars"":42,""model_monomials"":460}"
wdsat,koblitz,3,61,5,2,1,15,3436,0.176,sat,0.0434,0.0449,True,"{""is_planted"":true,""conflicts"":4720,""model_vars"":42,""model_monomials"":460}"
wdsat,koblitz,3,61,5,3,1,15,3436,0.174,sat,0.0461,0.0477,True,"{""is_planted"":true,""conflicts"":4866,""model_vars"":42,""model_monomials"":460}"
wdsat,koblitz,3,61,6,1,1,18,9343,0.221,sat,0.0748,0.0754,True,"{""is_planted"":true,""conflicts"":7689,""model_vars"":51,""model_monomials"":716}"
wdsat,koblitz,3,61,6,2,1,18,9343,0.225,sat,0.4917,0.4923,True,"{""is_planted"":false,""conflicts"":39119,""model_vars"":51,""model_monomials"":716}"
wdsat,koblitz,3,61,6,3,1,18,9343,0.223,sat,0.0623,0.0628,True,"{""is_planted"":true,""conflicts"":6944,""model_vars"":51,""model_monomials"":716}"
wdsat,koblitz,3,61,7,1,1,21,22058,0.281,sat,0.7381,0.7398,True,"{""is_planted"":true,""conflicts"":60325,""model_vars"":60,""model_monomials"":1041}"
wdsat,koblitz,3,61,7,2,1,21,22058,0.274,sat,4.3772,4.3802,True,"{""is_planted"":true,""conflicts"":260470,""model_vars"":60,""model_monomials"":1041}"
wdsat,koblitz,3,61,7,3,1,21,22058,0.287,sat,3.9589,3.9671,True,"{""is_planted"":true,""conflicts"":239279,""model_vars"":60,""model_monomials"":1041}"
wdsat,koblitz,3,61,8,1,1,24,46789,0.372,sat,34.1583,34.1739,True,"{""is_planted"":true,""conflicts"":1685507,""model_vars"":69,""model_monomials"":1441}"
wdsat,koblitz,3,61,8,2,1,24,46789,0.365,sat,30.6961,30.7032,True,"{""is_planted"":true,""conflicts"":1484465,""model_vars"":69,""model_monomials"":1441}"
wdsat,koblitz,3,61,8,3,1,24,46789,0.366,sat,22.5089,22.5178,True,"{""is_planted"":true,""conflicts"":1128752,""model_vars"":69,""model_monomials"":1441}"
wdsat,koblitz,3,61,9,1,1,27,91288,0.529,sat,19.0580,19.0655,True,"{""is_planted"":true,""conflicts"":996593,""model_vars"":78,""model_monomials"":1922}"
wdsat,koblitz,3,61,9,2,1,27,91288,0.510,sat,179.9848,182.3422,True,"{""is_planted"":true,""conflicts"":7065125,""model_vars"":78,""model_monomials"":1922}"
wdsat,koblitz,3,61,9,3,1,27,91288,0.589,sat,610.2639,610.4718,True,"{""is_planted"":true,""conflicts"":20718496,""model_vars"":78,""model_monomials"":1922}"
