engine,curve,m,n,l,seed,threads,vars,monomials,build_seconds,status,seconds,wall_seconds,verified,detail
wdsat-trace,koblitz,3,17,3,1,1,9,244,0.092,sat,0.0009,0.0013,True,"{""is_planted"":true,""conflicts"":10,""model_vars"":24,""model_monomials"":131}"
wdsat-trace,koblitz,3,17,3,2,1,9,244,0.089,sat,0.0009,0.0023,True,"{""is_planted"":true,""conflicts"":30,""model_vars"":24,""model_monomials"":131}"
wdsat-trace,koblitz,3,17,3,3,1,9,244,0.137,sat,0.0006,0.0020,True,"{""is_planted"":true,""conflicts"":12,""model_vars"":24,""model_monomials"":131}"
wdsat-trace,koblitz,3,17,4,1,1,12,1043,0.080,sat,0.0012,0.0026,True,"{""is_planted"":true,""conflicts"":152,""model_vars"":33,""model_monomials"":267}"
wdsat-trace,koblitz,3,17,4,2,1,12,1043,0.102,sat,0.0013,0.0026,True,"{""is_planted"":true,""conflicts"":152,""model_vars"":33,""model_monomials"":267}"
wdsat-trace,koblitz,3,17,4,3,1,12,1043,0.078,sat,0.0015,0.0028,True,"{""is_planted"":true,""conflicts"":219,""model_vars"":33,""model_monomials"":267}"
wdsat-trace,koblitz,3,17,5,1,1,15,3436,0.099,sat,0.0046,0.0049,True,"{""is_planted"":true,""conflicts"":886,""model_vars"":42,""model_monomials"":460}"
wdsat-trace,koblitz,3,17,5,2,1,15,3436,0.109,sat,0.0084,0.0098,True,"{""is_planted"":true,""conflicts"":1633,""model_vars"":42,""model_monomials"":460}"
wdsat-trace,koblitz,3,17,5,3,1,15,3436,0.102,sat,0.0058,0.0112,True,"{""is_planted"":true,""conflicts"":1042,""model_vars"":42,""model_monomials"":460}"
wdsat-trace,koblitz,3,17,6,1,1,18,9343,0.116,sat,0.0428,0.0576,True,"{""is_planted"":true,""conflicts"":7009,""model_vars"":51,""model_monomials"":716}"
wdsat-trace,koblitz,3,17,6,2,1,18,9343,0.124,sat,0.0734,0.0837,True,"{""is_planted"":false,""conflicts"":11111,""model_vars"":51,""model_monomials"":716}"
wdsat-trace,koblitz,3,17,6,3,1,18,9343,0.117,sat,0.0476,0.0781,True,"{""is_planted"":true,""conflicts"":7463,""model_vars"":51,""model_monomials"":716}"
wdsat-trace,koblitz,3,17,7,1,1,21,22058,0.143,unsupported,0.0000,,,symmetrised model needs 3l - 2 <= n (e3 must not wrap)
wdsat-trace,koblitz,3,17,7,2,1,21,22058,0.145,unsupported,0.0000,,,symmetrised model needs 3l - 2 <= n (e3 must not wrap)
wdsat-trace,koblitz,3,17,7,3,1,21,22058,0.142,unsupported,0.0000,,,symmetrised model needs 3l - 2 <= n (e3 must not wrap)
wdsat-trace,koblitz,3,17,8,1,1,24,46789,0.183,unsupported,0.0000,,,symmetrised model needs 3l - 2 <= n (e3 must not wrap)
wdsat-trace,koblitz,3,17,8,2,1,24,46789,0.179,unsupported,0.0000,,,symmetrised model needs 3l - 2 <= n (e3 must not wrap)
wdsat-trace,koblitz,3,17,8,3,1,24,46789,0.181,unsupported,0.0000,,,symmetrised model needs 3l - 2 <= n (e3 must not wrap)
wdsat-trace,koblitz,3,17,9,1,1,27,91288,0.289,unsupported,0.0000,,,symmetrised model needs 3l - 2 <= n (e3 must not wrap)
wdsat-trace,koblitz,3,17,9,2,1,27,91288,0.246,unsupported,0.0000,,,symmetrised model needs 3l - 2 <= n (e3 must not wrap)
wdsat-trace,koblitz,3,17,9,3,1,27,91288,0.252,unsupported,0.0000,,,symmetrised model needs 3l - 2 <= n (e3 must not wrap)
wdsat-trace,koblitz,3,31,3,1,1,9,244,0.083,sat,0.0008,0.0021,True,"{""is_planted"":true,""conflicts"":11,""model_vars"":24,""model_monomials"":131}"
wdsat-trace,koblitz,3,31,3,2,1,9,244,0.087,sat,0.0009,0.0013,True,"{""is_planted"":true,""conflicts"":29,""model_vars"":24,""model_monomials"":131}"
wdsat-trace,koblitz,3,31,3,3,1,9,244,0.091,sat,0.0007,0.0011,True,"{""is_planted"":true,""conflicts"":12,""model_vars"":24,""model_monomials"":131}"
wdsat-trace,koblitz,3,31,4,1,1,12,1043,0.104,sat,0.0015,0.0028,True,"{""is_planted"":true,""conflicts"":150,""model_vars"":33,""model_monomials"":267}"
wdsat-trace,koblitz,3,31,4,2,1,12,1043,0.102,sat,0.0012,0.0013,True,"{""is_planted"":true,""conflicts"":12,""model_vars"":33,""model_monomials"":267}"
wdsat-trace,koblitz,3,31,4,3,1,12,1043,0.131,sat,0.0011,0.0066,True,"{""is_planted"":true,""conflicts"":12,""model_vars"":33,""model_monomials"":267}"
wdsat-trace,koblitz,3,31,5,1,1,15,3436,0.117,sat,0.0054,0.0073,True,"{""is_planted"":true,""conflicts"":844,""model_vars"":42,""model_monomials"":460}"
wdsat-trace,koblitz,3,31,5,2,1,15,3436,0.118,sat,0.0097,0.0143,True,"{""is_planted"":true,""conflicts"":1618,""model_vars"":42,""model_monomials"":460}"
wdsat-trace,koblitz,3,31,5,3,1,15,3436,0.109,sat,0.0058,0.0074,True,"{""is_planted"":true,""conflicts"":787,""model_vars"":42,""model_monomials"":460}"
wdsat-trace,koblitz,3,31,6,1,1,18,9343,0.142,sat,0.0592,0.0731,True,"{""is_planted"":true,""conflicts"":7687,""model_vars"":51,""model_monomials"":716}"
wdsat-trace,koblitz,3,31,6,2,1,18,9343,0.138,sat,0.1214,0.1233,True,"{""is_planted"":true,""conflicts"":12815,""model_vars"":51,""model_monomials"":716}"
