engine,curve,m,n,l,seed,threads,vars,monomials,build_seconds,status,seconds,wall_seconds,verified,detail
wdsat-xg,koblitz,3,31,5,1,1,15,3436,0.159,sat,0.0267,0.0282,True,"{""is_planted"":true,""conflicts"":409,""model_vars"":42,""model_monomials"":460}"
wdsat-xg,koblitz,3,31,5,2,1,15,3436,0.106,sat,0.0636,0.0650,True,"{""is_planted"":true,""conflicts"":901,""model_vars"":42,""model_monomials"":460}"
wdsat-xg,koblitz,3,31,5,3,1,15,3436,0.105,sat,0.0254,0.0268,True,"{""is_planted"":true,""conflicts"":386,""model_vars"":42,""model_monomials"":460}"
wdsat-xg,koblitz,3,31,6,1,1,18,9343,0.131,sat,0.5181,0.5198,True,"{""is_planted"":true,""conflicts"":5243,""model_vars"":51,""model_monomials"":716}"
wdsat-xg,koblitz,3,31,6,2,1,18,9343,0.134,sat,1.0562,1.0579,True,"{""is_planted"":true,""conflicts"":9971,""model_vars"":51,""model_monomials"":716}"
wdsat-xg,koblitz,3,31,6,3,1,18,9343,0.138,sat,1.5728,1.5748,True,"{""is_planted"":true,""conflicts"":14089,""model_vars"":51,""model_monomials"":716}"
wdsat-xg,koblitz,3,31,7,1,1,21,22058,0.166,sat,0.5747,0.5763,True,"{""is_planted"":true,""conflicts"":3149,""model_vars"":60,""model_monomials"":1041}"
wdsat-xg,koblitz,3,31,7,2,1,21,22058,0.163,sat,31.8066,31.8353,True,"{""is_planted"":true,""conflicts"":133957,""model_vars"":60,""model_monomials"":1041}"
wdsat-xg,koblitz,3,31,7,3,1,21,22058,0.168,sat,2.0678,2.0705,True,"{""is_planted"":true,""conflicts"":11391,""model_vars"":60,""model_monomials"":1041}"
wdsat-xg,koblitz,3,31,8,1,1,24,46789,0.211,sat,128.2183,128.4290,True,"{""is_planted"":true,""conflicts"":485206,""model_vars"":69,""model_monomials"":1441}"
wdsat-xg,koblitz,3,31,8,2,1,24,46789,0.237,sat,239.6497,240.1036,True,"{""is_planted"":true,""conflicts"":847469,""model_vars"":69,""model_monomials"":1441}"
wdsat-xg,koblitz,3,31,8,3,1,24,46789,0.232,sat,308.2243,308.7025,True,"{""is_planted"":true,""conflicts"":1071027,""model_vars"":69,""model_monomials"":1441}"
wdsat-xg,koblitz,3,61,5,1,1,15,3436,0.201,sat,0.0070,0.0085,True,"{""is_planted"":true,""conflicts"":46,""model_vars"":42,""model_monomials"":460}"
wdsat-xg,koblitz,3,61,5,2,1,15,3436,0.175,sat,0.0438,0.0453,True,"{""is_planted"":true,""conflicts"":449,""model_vars"":42,""model_monomials"":460}"
wdsat-xg,koblitz,3,61,5,3,1,15,3436,0.171,sat,0.0479,0.0495,True,"{""is_planted"":true,""conflicts"":482,""model_vars"":42,""model_monomials"":460}"
wdsat-xg,koblitz,3,61,6,1,1,18,9343,0.218,sat,0.0733,0.0738,True,"{""is_planted"":true,""conflicts"":584,""model_vars"":51,""model_monomials"":716}"
wdsat-xg,koblitz,3,61,6,2,1,18,9343,0.218,sat,0.8577,0.8596,True,"{""is_planted"":false,""conflicts"":5344,""model_vars"":51,""model_monomials"":716}"
wdsat-xg,koblitz,3,61,6,3,1,18,9343,0.223,sat,0.0658,0.0674,True,"{""is_planted"":true,""conflicts"":509,""model_vars"":51,""model_monomials"":716}"
wdsat-xg,koblitz,3,61,7,1,1,21,22058,0.281,sat,1.9030,1.9089,True,"{""is_planted"":true,""conflicts"":7705,""model_vars"":60,""model_monomials"":1041}"
wdsat-xg,koblitz,3,61,7,2,1,21,22058,0.281,sat,17.7998,17.8200,True,"{""is_planted"":true,""conflicts"":59846,""model_vars"":60,""model_monomials"":1041}"
wdsat-xg,koblitz,3,61,7,3,1,21,22058,0.298,sat,15.1919,15.2133,True,"{""is_planted"":true,""conflicts"":52501,""model_vars"":60,""model_monomials"":1041}"
wdsat-xg,koblitz,3,61,8,1,1,24,46789,0.368,sat,215.4899,215.7175,True,"{""is_planted"":true,""conflicts"":558876,""model_vars"":69,""model_monomials"":1441}"
wdsat-xg,koblitz,3,61,8,2,1,24,46789,0.389,sat,174.1062,174.2408,True,"{""is_planted"":true,""conflicts"":474500,""model_vars"":69,""model_monomials"":1441}"
wdsat-xg,koblitz,3,61,8,3,1,24,46789,0.394,sat,121.6848,121.9168,True,"{""is_planted"":true,""conflicts"":334352,""model_vars"":69,""model_monomials"":1441}"
